	Data  collected  in all Unit under Urban Economic department																																																									
																																																										
Department unit name	Variable names(Labels Or string)	Dataflow(How data flow from cell level to CoK Currently)	Existing system that are used	What tasks can the current system perform?																																																						
Urban and Peri urban Agriculture																																																										
Girinka 	Beneficiaries and Location full details, Ear Tag Number,Status(Alive, Sold, Dead),Source (Inkomoko):Gahunda ya Girinka,pass-on ,Partners – NGO or development partner support, pass-on principle full details	Umudugudu,Akagali, Umurenge(cow donor contract, cow status report),Akarere	No	No system																																																						
Cows inseminated	Date of Insemination, Farmer and location details,Ear Tag Number	Cell- sector- District- Cok	No	No system																																																						
Calves recorded	Data Field(Date Recorded,Date of Birth,Farmer's name,Breed of the calf,Mother ID	Cell- sector- District- Cok	No	No system																																																						
Insurance (Cows, goats, pig,…)	Ear Tag Number,Farmer Name,Animal Type,Insurance Provider,Compensation Paid,Premium Payment Status,Full adress location	Cell- sector- District- Cok	Yes	 System available																																																						
Land use consolidation per categories(maize, vegetables, beans, rice)	Farmer Name,National ID,Phone Number,Full adress location, Cooperative if available,Land Parcel ID,Land Size (ha),Crop Category,Crop Variety,Fertilizer Used,Irrigation(yes/no), crop insurance(maize and rice) data	Cell- sector- District- Cok	No	No system																																																						
Fertilizers	Farmer Full adress,Land Parcel ID,Land Size (ha),Fertilizer Type,Fertilizer Name,Quantity Applied,Unit,Application Date,Supplier,Cost,Season,Agro dealer full details		Smart nkunganire system	Data related to organic fertilizer																																																						
Forest rehabilitation(ha)	Data Field,Full adress location,																																																									
Tree plantation (Ornemental, ,,,,,,)( numbers),Agro forestry(ha)	Full adress location,Plantation Category(Ornamental, Fruit Trees, Indigenous Trees, Agroforestry, Commercial Forest, Shade Trees, Bamboo, etc.),Number of Trees Planted,																																																									
Cold rooms established	Location full adress,Establishment Date,Ownership,Purpose,Storage Capacity																																																									
Coffee plantation and production	Locationand Farm full adress,Number of tree,																																																									
Livestock farming per categories	Location full and Farms adress,																																																									
																																																										
KESC																																																										
Cooperatives registered (per categories)	"S/N,SECTOR ,COOPERATIVE NAME, FIELD/Icyo ikora, LOCATION	, NUMBER OF ALL MEMBERS 
"	Village-Cell- sector- District- Cok	Yes , RCA																																																							
																																																										
Job created per categories (all sectors of economie)	NAMES,ID No,Sex, Disabity (Yes/ No),Sector, Cell,Education Level, Economic Activity(1.Mining and quarrying,2.Agro-Processing and agri-business,3.Manufacturing of products and furnitures 4.Electricity, gas, steam and air conditioning supply,5.Water supply, sewage, waste management and remediation activities,6.Construction (houses and other buildings, roads, etc),7.Wholesale and retail trade 8.Repair of motor vehicle, moto and other items (Garage) 9.Transportation and storage  10.Accommodation and food service activities, 11.Information Technology 12.Telecommunication 13.Financial and insurance activities 14.Liberal Professional and technical activities(Consultant, Avocat, declarants,  etc) 15.Administrative and support service activities (Security guards, cleaners, domestic workers etc) 16.Public administration and compulsory social security17. Education 18.Human health and social work activities 19.Arts, entertainments and recreation 20.Activities of extraterritorial organization and bodies (NGOs) 21. Others), Employer Name,Date of job creation/ Employment date,Type of contract (30r >3 month, >6month, long term) Pricise, Telefone Number	Village-Cell- sector- District- Cok																																																								
Work place learning / Interneship per categories	"S/N , Names of Beneficiary, Tel, ID No, Youth or Not Youth,Sex  (Male/ Female), Field of the study/trade of graduate/Student, Choose the types of WPL:  Professional Internship, Academic internship/Industrial Attachment, Apprenticeship(Eg.Dual Training/Industry Based Training:IBT), Choose: Duration of types of WPL (Eg. Six months, One month, Disability (Yes/ No)),	Name of Hosting Projec/Program/Business, Choose: Type of hosting Project (Public/ Private/ NGO)
"	Village-Cell- sector- District- Cok																																																								
Unemployed people (Youth, Women, Men)	no,id, id_number, names, sex, dob, age, phone_number, province_lup, district_lup, sector_lup, cell_lup, village_lup, province, idprovince, district, iddistrict, sector, idsector, cell, id_cell ,village, id_village, rural_urban.	Village-Cell- sector- District- Cok																																																								
 Micro, Small, and Medium Enterprises per categories																																																										
Street vendors  (Youth, Women, Men)	"No, AMAZINA, UMURENGE, ID, TEL, IBYO ACURUZA, ISOKO
"	Village-Cell- sector- District- Cok	Yes , LODA																																																							
Market and mini markets per categories																																																										
TVET, TSS, Innovation hubs, Hanga Hubs																																																										
Incubation Centres																																																										
Yego Centres																																																										
Informal businesses and employment per categories																																																										
Recruiting Agencies																																																										
Training centres																																																										
Skill councils																																																										
Development partnes, NGOs and Private sectors acting  in skills development, workplace learning and employment promotions / per categories																																																										
NEET per categories																																																										
Beneficiairies supported through VUP FS per categories	No, Names of Beneficiary, Gender, District, Sector, Cell, Project Name, Disbursement Date , Maturity Date, Loan Amount, Loan Amount + Interst, Amount Supposed To be repaid Pay as at, Repaid amount as at , Outstanding, Repayment Rate, Default payment that are overdue 2 years .	Village-Cell- sector- District- Cok																																																								
Amatsinda	No, Names of Beneficiary, Gender, District, Sector, Cell, Project Name, Disbursement Date , Maturity Date, Loan Amount, Loan Amount + Interst, Amount Supposed To be repaid Pay as at, Repaid amount as at , Outstanding, Repayment Rate, Default payment that are overdue 2 years .	Village-Cell- sector- District- Cok																																																								
Young entrepreneurs supported/ or received grants or start up capital  per sources	      	Village-Cell- sector- District- Cok																																																								
																																																										
Tourism promotion																																																										
Touristic Sites (Attractions):																																																										
Parks																																																										
Community-Based Tourism (CBTs)																																																										
Historical Monuments / Heritage Sites																																																										
Museums																																																										
Hospitality and Tourism Support Facilities																																																										
Hotels																																																										
Motels																																																										
Apartments																																																										
Restaurants																																																										
Bars																																																										
Nightclubs																																																										
Entertainment venues and Sports facilities																																																										
Handicraft Shops																																																										
Investment and Investment promotion.																																																										
Lodges	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Number of rooms; Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Resorts	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Bars	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Residential houses	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth);Number of rooms;  Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
