"location_id","type","name","status"
-2,"FOREIGN","Burundi, Bujumbura, Bujumbura, Bururi, Kinama","ACTIVE"
-1,"FOREIGN","Uganda, Bufumbira, Kisoro","ACTIVE"
0,"COUNTRY","Rwanda","ACTIVE"
1,"PROVINCE","Umujyi wa Kigali","ACTIVE"
2,"PROVINCE","Amajyepfo","ACTIVE"
3,"PROVINCE","Iburengerazuba","ACTIVE"
4,"PROVINCE","Amajyaruguru","ACTIVE"
5,"PROVINCE","Iburasirazuba","ACTIVE"
11,"DISTRICT","Nyarugenge","ACTIVE"
12,"DISTRICT","Gasabo","ACTIVE"
13,"DISTRICT","Kicukiro","ACTIVE"
21,"DISTRICT","Nyanza","ACTIVE"
22,"DISTRICT","Gisagara","ACTIVE"
23,"DISTRICT","Nyaruguru","ACTIVE"
24,"DISTRICT","Huye","ACTIVE"
25,"DISTRICT","Nyamagabe","ACTIVE"
26,"DISTRICT","Ruhango","ACTIVE"
27,"DISTRICT","Muhanga","ACTIVE"
28,"DISTRICT","Kamonyi","ACTIVE"
31,"DISTRICT","Karongi","ACTIVE"
32,"DISTRICT","Rutsiro","ACTIVE"
33,"DISTRICT","Rubavu","ACTIVE"
34,"DISTRICT","Nyabihu","ACTIVE"
35,"DISTRICT","Ngororero","ACTIVE"
36,"DISTRICT","Rusizi","ACTIVE"
37,"DISTRICT","Nyamasheke","ACTIVE"
41,"DISTRICT","Rulindo","ACTIVE"
42,"DISTRICT","Gakenke","ACTIVE"
43,"DISTRICT","Musanze","ACTIVE"
44,"DISTRICT","Burera","ACTIVE"
45,"DISTRICT","Gicumbi","ACTIVE"
51,"DISTRICT","Rwamagana","ACTIVE"
52,"DISTRICT","Nyagatare","ACTIVE"
53,"DISTRICT","Gatsibo","ACTIVE"
54,"DISTRICT","Kayonza","ACTIVE"
55,"DISTRICT","Kirehe","ACTIVE"
56,"DISTRICT","Ngoma","ACTIVE"
57,"DISTRICT","Bugesera","ACTIVE"
1101,"SECTOR","Gitega","ACTIVE"
1102,"SECTOR","Kanyinya","ACTIVE"
